Latitude Longitude
-15.076570 175.842500
-14.400011 175.936408
-13.722375 176.027206
-13.043723 176.115060
-12.364113 176.200130
-11.683605 176.282575
-11.002256 176.362552
-10.320122 176.440216
-9.637259 176.515719
-8.953720 176.589212
-8.269560 176.660843
-7.584833 176.730760
-6.899589 176.799107
-6.213882 176.866031
-5.527762 176.931673
-4.841281 176.996175
-4.154488 177.059679
-3.467434 177.122324
-2.780167 177.184250
-2.092739 177.245595
-1.405196 177.306497
-0.717590 177.367095
-0.029967 177.427524
0.657622 177.487924
1.345130 177.548430
2.032508 177.609180
2.719706 177.670312
3.406676 177.731963
4.093369 177.794272
4.779735 177.857377
5.465725 177.921418
6.151289 177.986536
6.836376 178.052870
7.520936 178.120564
8.204917 178.189760
8.888268 178.260605
9.570937 178.333242
10.252869 178.407821
10.934011 178.484491
11.614309 178.563402
12.293707 178.644707
12.972149 178.728563
13.649577 178.815125
14.325934 178.904553
15.001158 178.997010
15.675191 179.092660
16.347969 179.191670
17.019430 179.294211
17.689509 179.400456
18.358140 179.510581
19.025255 179.624766
19.690784 179.743194
20.354657 179.866052
21.016801 179.993530
21.677140 -179.874178
22.335599 -179.736873
22.992097 -179.594353
23.646554 -179.446411
24.298887 -179.292836
24.949008 -179.133412
25.596830 -178.967919
26.242261 -178.796132
26.885208 -178.617821
27.525572 -178.432750
28.163256 -178.240679
28.798154 -178.041362
29.430161 -177.834548
30.059167 -177.619982
30.685058 -177.397401
31.307716 -177.166537
31.927021 -176.927117
32.542846 -176.678864
33.155063 -176.421492
33.763537 -176.154712
34.368130 -175.878230
34.968698 -175.591743
35.565092 -175.294947
36.157160 -174.987531
36.744743 -174.669179
37.327676 -174.339571
37.905789 -173.998383
38.478908 -173.645286
39.046850 -173.279950
39.609428 -172.902039
40.166447 -172.511217
40.717707 -172.107145
41.263001 -171.689486
41.802114 -171.257900
42.334826 -170.812049
42.860909 -170.351598
43.380128 -169.876215
43.892240 -169.385574
44.396997 -168.879352
44.894141 -168.357237
45.383409 -167.818925
45.864530 -167.264126
46.337226 -166.692561
46.801210 -166.103967
47.256193 -165.498101
47.701874 -164.874741
48.137950 -164.233685
48.564109 -163.574762
48.980035 -162.897827
49.385408 -162.202768
49.779901 -161.489509
50.163185 -160.758012
50.534927 -160.008280
50.894792 -159.240364
51.242444 -158.454359
51.577547 -157.650414
51.899764 -156.828733
52.208761 -155.989574
52.504206 -155.133258
52.785774 -154.260166
53.053142 -153.370742
53.305996 -152.465498
53.544032 -151.545010
53.766955 -150.609922
53.974480 -149.660945
54.166339 -148.698853
54.342275 -147.724489
54.502051 -146.738756
54.645445 -145.742616
54.772256 -144.737089
54.882304 -143.723246
54.975429 -142.702204
55.051495 -141.675123
55.110391 -140.643198
55.152029 -139.607651
55.176348 -138.569728
55.183313 -137.530689
55.172912 -136.491799
55.145164 -135.454324
55.100110 -134.419520
55.037819 -133.388628
54.958385 -132.362865
54.861926 -131.343419
54.748585 -130.331439
54.618525 -129.328034
54.471934 -128.334261
54.309017 -127.351129
54.130002 -126.379586
53.935131 -125.420521
53.724664 -124.474761
53.498875 -123.543066
53.258049 -122.626132
53.002487 -121.724586
52.732494 -120.838990
52.448389 -119.969839
52.150493 -119.117564
51.839136 -118.282530
51.514650 -117.465045
51.177370 -116.665354
50.827633 -115.883647
50.465776 -115.120060
50.092135 -114.374679
49.707045 -113.647543
49.310839 -112.938645
48.903845 -112.247938
48.486388 -111.575337
48.058789 -110.920723
47.621363 -110.283945
47.174419 -109.664824
46.718260 -109.063153
46.253185 -108.478705
45.779483 -107.911232
45.297438 -107.360467
44.807326 -106.826130
44.309417 -106.307926
43.803974 -105.805550
43.291250 -105.318685
42.771494 -104.847011
42.244946 -104.390199
41.711840 -103.947915
41.172402 -103.519824
40.626850 -103.105588
40.075398 -102.704868
39.518250 -102.317326
38.955606 -101.942623
38.387658 -101.580425
37.814592 -101.230396
37.236589 -100.892206
36.653822 -100.565528
36.066461 -100.250039
35.474666 -99.945420
34.878596 -99.651357
34.278403 -99.367539
33.674234 -99.093663
33.066230 -98.829429
32.454529 -98.574543
31.839264 -98.328718
31.220564 -98.091671
