accelaration accelaration accelaration
0.065542 0.374804 0.061164
0.070494 0.373287 0.067856
0.075411 0.371639 0.074534
0.080291 0.369860 0.081197
0.085131 0.367951 0.087844
0.089929 0.365913 0.094473
0.094681 0.363747 0.101084
0.099386 0.361454 0.107673
0.104041 0.359035 0.114242
0.108643 0.356492 0.120786
0.113189 0.353824 0.127307
0.117677 0.351034 0.133801
0.122105 0.348122 0.140268
0.126469 0.345091 0.146706
0.130769 0.341941 0.153114
0.135000 0.338674 0.159490
0.139162 0.335291 0.165833
0.143250 0.331794 0.172142
0.147264 0.328185 0.178416
0.151201 0.324466 0.184652
0.155059 0.320637 0.190850
0.158835 0.316701 0.197009
0.162527 0.312659 0.203126
0.166133 0.308514 0.209201
0.169651 0.304267 0.215233
0.173080 0.299920 0.221219
0.176416 0.295476 0.227160
0.179659 0.290936 0.233053
0.182805 0.286302 0.238897
0.185854 0.281577 0.244691
0.188804 0.276762 0.250434
0.191652 0.271860 0.256124
0.194397 0.266874 0.261760
0.197038 0.261804 0.267342
0.199572 0.256655 0.272867
0.201998 0.251428 0.278335
0.204315 0.246125 0.283744
0.206522 0.240749 0.289094
0.208616 0.235303 0.294382
0.210596 0.229789 0.299609
0.212462 0.224209 0.304772
0.214211 0.218566 0.309871
0.215844 0.212863 0.314904
0.217357 0.207102 0.319871
0.218752 0.201286 0.324770
0.220025 0.195417 0.329601
0.221178 0.189499 0.334362
0.222208 0.183534 0.339051
0.223114 0.177524 0.343669
0.223897 0.171473 0.348214
0.224555 0.165383 0.352686
0.225088 0.159257 0.357082
0.225495 0.153098 0.361403
0.225775 0.146909 0.365646
0.225928 0.140692 0.369813
0.225954 0.134451 0.373900
0.225852 0.128188 0.377908
0.225623 0.121905 0.381836
0.225265 0.115607 0.385682
0.224778 0.109296 0.389446
0.224164 0.102974 0.393127
0.223420 0.096645 0.396725
0.222549 0.090311 0.400237
0.221549 0.083976 0.403665
0.220420 0.077642 0.407006
0.219164 0.071312 0.410261
0.217780 0.064989 0.413428
0.216269 0.058676 0.416506
0.214630 0.052376 0.419496
0.212866 0.046091 0.422396
0.210975 0.039825 0.425206
0.208959 0.033580 0.427925
0.206818 0.027360 0.430552
0.204553 0.021166 0.433087
0.202166 0.015002 0.435530
0.199655 0.008871 0.437879
0.197024 0.002775 0.440135
0.194271 -0.003283 0.442297
0.191400 -0.009300 0.444363
0.188410 -0.015273 0.446335
