velocity(x) velocity(y) velocity(z)
1334.989389 1911.507252 -1732.477558
1357.437565 1922.120816 -1693.348210
1379.817840 1932.101812 -1653.854926
1402.117368 1941.449645 -1614.006124
1424.323306 1950.164005 -1573.810298
1446.422824 1958.244874 -1533.276024
1468.403113 1965.692522 -1492.411948
1490.251387 1972.507506 -1451.226793
1511.954891 1978.690673 -1409.729352
1533.500910 1984.243155 -1367.928485
1554.876773 1989.166374 -1325.833125
1576.069855 1993.462036 -1283.452266
1597.067594 1997.132130 -1240.794968
1617.857486 2000.178932 -1197.870351
1638.427097 2002.604998 -1154.687596
1658.764069 2004.413167 -1111.255942
1678.856124 2005.606557 -1067.584684
1698.691072 2006.188562 -1023.683169
1718.256817 2006.162855 -979.560796
1737.541361 2005.533380 -935.227015
1756.532811 2004.304356 -890.691324
1775.219387 2002.480269 -845.963264
1793.589424 2000.065875 -801.052421
1811.631381 1997.066194 -755.968422
1829.333845 1993.486507 -710.720933
1846.685538 1989.332357 -665.319658
1863.675321 1984.609543 -619.774336
1880.292201 1979.324117 -574.094736
1896.525336 1973.482382 -528.290661
1912.364040 1967.090890 -482.371941
1927.797789 1960.156435 -436.348433
1942.816226 1952.686053 -390.230018
1957.409165 1944.687018 -344.026597
1971.566598 1936.166836 -297.748094
1985.278701 1927.133243 -251.404449
1998.535835 1917.594200 -205.005616
2011.328553 1907.557892 -158.561566
2023.647607 1897.032720 -112.082277
2035.483948 1886.027298 -65.577739
2046.828735 1874.550449 -19.057945
2057.673336 1862.611202 27.467103
2068.009335 1850.218786 73.987406
2077.828534 1837.382622 120.492960
2087.122961 1824.112326 166.973767
2095.884868 1810.417697 213.419833
2104.106740 1796.308716 259.821168
2111.781297 1781.795540 306.167794
2118.901498 1766.888497 352.449743
2125.460545 1751.598079 398.657061
2131.451885 1735.934939 444.779808
2136.869214 1719.909887 490.808062
2141.706482 1703.533881 536.731924
2145.957894 1686.818022 582.541513
2149.617914 1669.773552 628.226975
2152.681266 1652.411845 673.778483
2155.142942 1634.744401 719.186235
2156.998197 1616.782843 764.440465
2158.242557 1598.538910 809.531437
